=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.09.30 13:38:45 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	9107	1179	1170
1	1735	9675	1744
2	2185	10125	2194
3	8134	200	210
4	1883	1873	9814
5	8560	628	618
6	2904	2913	10838
7	7	7704	16
8	12767	4836	4827
9	2172	10105	2163
10	2329	10260	2319
11	2811	10746	2802
12	10034	2105	2095
13	426	417	8359
14	1392	1383	9327
15	323	8266	332
16	1034	1043	8977
17	4963	12895	4954
18	9221	1280	1290
19	2069	10007	2078
20	2893	10823	2884
21	9447	1506	1515
22	1535	9473	1544
23	1016	1007	8950
24	19	7885	9
25	2412	10346	2421
26	1117	9062	1126
27	1032	8981	1041
28	17	8	5035
29	3128	3137	11060
30	193	184	8127
31	13948	6019	6010
32	11449	3518	3509
33	9635	1692	1701
34	12633	4697	4707
35	16	6	5032
36	82	91	8023
37	5034	5	14
38	1524	9456	1515
39	6	5032	15
40	2469	2460	10407
41	9654	1712	1722
42	8228	287	297
43	17	5035	7
44	3214	3223	11155
45	8634	692	701
46	9687	1753	1744
47	8087	157	148
48	6	5033	15
49	2290	10226	2280
50	1073	9015	1082
51	2088	10033	2097
52	2483	10423	2492
53	10712	2772	2781
54	9399	1464	1454
55	4929	12872	4938
56	747	738	8681
57	399	389	8330
58	1241	9180	1250
59	6	15	5033
60	5042	5	15
61	7019	15	5
62	9297	1347	1356
63	8608	658	667
64	4017	11965	4026
65	7654	7	16
66	3470	3461	11402
67	5081	60	51
68	8611	670	679
69	16	7	5011
70	7551	2521	2532
71	1416	1406	9347
72	2710	10651	2719
73	1110	9036	1100
74	1240	1249	9183
75	2133	2123	10062
76	15	7804	6
77	2815	10756	2824
78	10355	2422	2431
79	476	8418	485
80	7	16	7067
81	11480	3549	3540
82	398	407	8339
83	3859	8880	3850
84	17	7	7569
85	40	7975	50
86	8	7079	17
87	1423	1432	9367
88	8	5037	17
89	4230	12165	4220
90	11208	3260	3270
91	3282	3291	11218
92	9439	1495	1504
93	11050	3104	3114
94	5037	7	17
95	18	7948	8
96	5038	18	9
97	2433	2442	10372
98	8709	773	763
99	747	8691	756
100	1882	9810	1873
101	5	7772	14
102	2981	2990	10923
103	7449	8	17
104	4590	12516	4581
105	2662	10590	2653
106	12404	4465	4474
107	5	14	7667
108	14	5	8842
109	1679	1688	9617
110	11323	3385	3394
111	11843	3904	3914
112	854	8785	845
113	2545	10475	2535
114	52	61	7989
115	7	5034	16
116	8934	996	1006
117	3878	3869	11804
118	657	666	8588
119	610	5636	620
120	2453	10380	2444
121	9704	1776	1767
122	8387	448	457
123	2860	2850	10781
124	1722	9658	1731
125	4199	12141	4208
126	11577	3639	3649
127	8	17	5034
128	7	7802	16
129	4463	4454	12388
130	5	14	5030
131	11305	3374	3365
132	959	949	8881
133	9646	1714	1704
134	3269	3278	11202
135	7	16	7917
136	4357	4366	12295
137	3199	11128	3189
138	1424	9355	1415
139	1606	9547	1615
140	5344	13274	5334
141	370	8310	380
142	2886	2895	10820
143	10621	2694	2685
144	1835	9764	1825
145	10125	2197	2188
146	9986	2057	2047
147	14	4	8290
148	687	696	8623
149	4784	4792	12726
150	15	6	6812
151	3338	8359	3347
152	449	439	8375
153	4419	4429	12357
154	1198	9130	1188
155	3198	11137	3207
156	9515	1583	1592
157	1704	9633	1695
158	8112	171	180
159	3337	11259	3327
160	5039	18	8
161	5029	8	17
162	14	5	5028
163	3198	3207	11137
164	9341	1412	1403
165	5	5030	14
166	1441	9371	1431
167	10084	2156	2146
168	3941	3950	11883
169	6875	1849	1858
170	2446	2437	10368
171	2134	10064	2124
172	9787	1858	1848
173	7	5032	16
174	7571	15	6
175	5355	13284	5345
176	88	8035	97
177	9342	1412	1402
178	2233	10166	2224
179	17	8227	8
180	1451	1442	9380
181	4680	4689	12617
182	9552	1626	1617
183	2800	10733	2809
184	9761	1829	1838
185	4263	12201	4272
186	3447	11371	3437
187	686	8626	695
188	8207	283	273
189	2947	10882	2938
190	59	7997	68
191	15	6	7802
192	1373	9312	1383
193	128	8064	119
194	1719	1710	9642
195	10185	2256	2247
196	7996	72	62
197	10177	2249	2240
198	1414	1423	9340
199	1593	1584	9518
200	10899	2964	2973
201	17	7621	7
202	1027	8964	1036
203	18	6757	9
204	4860	4851	12788
205	10289	2351	2360
206	124	8061	133
207	15	5	7477
208	7678	4	14
209	2410	2401	10339
210	1248	9170	1238
211	7	16	5033
212	5957	937	928
213	15	7807	5
214	4	5032	14
215	986	977	8919
216	9600	1659	1668
217	1802	1811	9738
218	2876	2866	10801
219	1137	1128	9066
220	3087	11030	3096
221	498	8440	508
222	5	8414	14
223	608	8540	599
224	1832	9774	1841
225	3156	3166	8181
226	8236	302	293
227	12000	4073	4063
228	1723	1714	9654
229	3482	3491	11425
230	8960	1031	1022
231	5027	5	14
232	2851	2860	10789
233	802	811	8745
234	10046	2116	2107
235	6	15	5034
236	1068	1058	6085
237	7365	8	17
238	3638	11576	3647
239	9177	1235	1244
240	8483	543	552
241	2524	7551	2533
242	1623	9554	1614
243	11197	3270	3260
244	947	956	8886
245	1847	9779	1837
246	3903	3912	11835
247	10131	6161	2196
248	864	873	8803
249	2070	2079	10008
250	9520	1588	1578
251	1749	9692	1758
252	1703	9637	1694
253	8	17	6816
254	9323	1390	1381
255	2527	2536	10470
256	805	813	8740
257	2397	2406	7425
258	57	7992	67
259	2908	2917	10853
260	113	104	8048
261	2134	10066	2125
262	7665	15	6
263	2043	9984	2052
264	15	7031	5
265	1039	1030	8974
266	5034	5	15
267	1021	1030	8963
268	11974	4046	4036
269	5035	6	16
270	8918	977	987
271	6	6764	15
272	3061	3052	10994
273	620	8549	611
274	3537	11479	3546
275	12345	4408	4417
276	4225	12149	4215
277	3328	11259	3319
278	12722	4793	4783
279	9454	1512	1521
280	1361	1370	9302
281	9670	1733	1742
282	1427	1418	6446
283	194	203	8137
284	2733	10678	2742
285	8	17	7478
286	4802	12745	4811
287	7817	6	16
288	1520	9465	5491
289	4241	4232	12174
290	1588	1597	9530
291	5037	7	16
292	7317	7	17
293	7179	6	15
294	8633	685	694
295	2275	10210	2265
296	9889	1950	1941
297	3615	3624	11558
298	2323	10269	2332
299	6	15	5035
300	1166	1156	9094
301	9284	1347	1338
302	1421	1430	9371
303	15	7852	6
304	12748	4804	4813
305	5	14	7934
306	522	5553	531
307	3033	3042	10977
308	3087	3077	11020
309	2710	2700	10643
310	18	8	6810
311	8295	348	358
312	3491	3482	11420
313	16	6722	7
314	99	89	8031
315	7702	17	7
316	880	8819	889
317	10100	2151	2160
318	3290	11230	3281
319	5	14	7671
320	595	5625	604
321	263	272	8207
322	295	286	8229
323	2255	10191	2246
324	10055	2113	2122
325	10550	2614	2605
326	9563	1627	1617
327	2586	2595	10528
328	9506	1557	1567
329	356	346	8286
330	5041	18	8
331	805	4767	796
332	6950	14894	6960
333	7898	16	6
334	7	16	5040
335	5	14	5036
336	4071	12011	4080
337	602	611	8544
338	16	5035	6
339	3332	3341	11282
340	7674	6	15
341	1199	9132	1190
342	7591	18	9
343	9988	2034	2044
344	9	18	5041
345	455	464	8396
346	2204	10138	2194
347	1465	1473	9404
348	8688	744	753
349	3605	11548	3614
350	5038	18	8
351	18	7242	8
352	16	7	5031
353	10112	2169	2178
354	9669	1733	1723
355	5040	21	11
356	7	5040	16
357	6123	6132	14069
358	16	7	7728
359	1588	1596	9533
360	441	432	8378
361	10158	2230	2220
362	11298	3367	3357
363	17	8	7087
364	5768	5759	13700
365	2245	2254	10185
366	9588	1648	1657
367	5034	15	6
368	9690	1755	1746
369	8012	69	78
370	9485	1541	1550
371	8	5037	17
372	262	253	8187
373	2216	10147	2206
374	16	7769	6
375	11461	3528	3519
376	9216	1285	1276
377	7721	17	7
378	4194	4203	9222
379	5	14	5032
380	4317	4326	12252
381	6	15	8312
382	2556	10495	2565
383	5	13	7411
384	3407	11331	3394
385	173	164	8103
386	6235	1210	1219
387	9553	1627	1618
388	8147	215	205
389	3653	11592	3662
390	8	8380	4407
391	10062	2129	2120
392	5	5032	14
393	4794	4803	12740
394	4	5032	14
395	3153	11082	3143
396	9015	1075	1085
397	1878	1869	9813
398	8416	475	484
399	5034	16	6
400	4889	12828	4879
401	8355	430	421
402	5036	6	16
403	2242	2251	10183
404	2560	10490	2551
405	638	8572	628
406	17	8	5037
407	410	8348	419
408	1852	9793	1862
409	9906	1960	1969
410	15	6	7892
411	10038	2088	2098
412	4897	12845	4906
413	8	5035	17
414	2013	2003	9938
415	2184	10124	2193
416	10352	2410	2419
417	15	5036	6
418	3154	3163	11099
419	6	15	7240
420	3107	3116	8136
421	3414	11344	3404
422	923	913	8848
423	2487	2496	10427
424	10952	3022	3012
425	2720	10663	2729
426	17	8	7060
427	3312	11251	3322
428	2265	2255	10198
429	265	8209	274
430	14	5033	5
431	3381	3390	11321
432	2311	2301	10244
433	8233	306	296
434	9808	1879	1869
435	10086	2149	2140
436	316	5336	307
437	14	5	7090
438	10508	2576	2567
439	11767	3833	3842
440	15	5033	6
441	1759	6782	1768
442	9316	1377	1386
443	6369	14316	6378
444	3277	3268	11200
445	10536	2601	2592
446	10292	2364	2354
447	8735	804	795
448	7556	2529	2539
449	8446	506	515
450	1016	1007	8945
451	2997	10932	3007
452	1611	1601	9544
453	10861	2931	2922
454	9868	1938	1928
455	8734	9	18
456	8934	993	1002
457	673	682	8610
458	16	6	7834
459	2242	10168	2233
460	314	8255	323
461	3285	8301	3276
462	3147	11088	3156
463	10355	2419	2410
464	102	8044	111
465	4427	4418	12350
466	18	5036	9
467	1240	1231	9172
468	18	7367	8
469	6079	1059	1050
470	10788	2863	2854
471	27	17	7964
472	18	7344	9
473	14	5	7718
474	808	5827	799
475	1590	9530	1581
476	809	8748	800
477	7	5036	16
478	15	6	7938
479	5037	6	16
480	10079	2132	2142
481	10403	2466	2457
482	9175	1235	1245
483	9140	1189	1198
484	2502	10449	2512
485	765	8708	774
486	1842	9793	1851
487	2397	2388	10332
488	309	8254	318
489	9137	1189	1199
490	841	8783	850
491	8604	668	659
492	2456	2446	10392
493	14	5	5035
494	1479	6505	1489
495	2655	10607	2664
496	6	15	7199
497	2411	10346	2402
498	9705	1759	1768
499	7203	16	6
500	7603	15	6
501	10007	2059	2069
502	1464	9396	1454
503	9241	1296	1305
504	8505	16	7
505	16	6724	7
506	5876	13822	5885
507	1452	1443	9383
508	1137	1146	9084
509	63	54	5083
510	8072	137	128
511	7534	6	16
512	527	5546	517
513	1024	1033	8977
514	10326	2380	2389
515	3289	8309	3280
516	2114	2123	10065
517	7112	6	16
518	495	504	8443
519	7884	7	17
520	1257	1248	9198
521	10282	2346	2336
522	131	8073	121
523	6	15	7935
524	757	747	8691
525	2104	2094	10039
526	10568	2633	2623
527	2835	10778	2844
528	193	202	8137
529	1060	1069	9004
530	414	5448	423
