=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.10.07 10:32:34 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	27	18	36
1	111	133	97
2	166	145	154
3	9	18	28
4	59	49	71
5	159	172	100
6	126	41	135
7	145	134	172
8	48	57	39
9	130	28	143
10	64	83	73
11	139	5	129
12	72	81	149
13	8	169	87
14	110	58	21
15	45	58	69
16	170	25	179
17	44	109	35
18	90	81	61
19	122	113	91
20	58	40	157
21	84	168	95
22	53	42	67
23	49	64	127
24	83	17	95
25	106	119	81
26	160	128	118
27	27	138	98
28	102	78	163
29	88	115	105
30	158	106	97
31	26	128	118
32	34	110	25
33	22	13	169
34	3171	115	106
35	97	19	29
36	99	71	89
37	196	37	139
38	150	159	169
39	115	102	124
40	128	65	75
41	42	71	52
42	18	169	110
43	679	76	44
44	136	27	10
45	48	57	67
46	56	101	8
47	54	44	154
48	176	85	166
49	82	64	42
50	53	44	152
51	145	39	154
52	27	36	45
53	164	9	154
54	109	118	100
55	38	91	101
56	19	169	9
57	76	100	61
58	117	31	52
59	150	140	12
60	114	97	122
61	113	104	170
62	41	95	105
63	42	64	135
64	93	28	54
65	35	76	106
66	45	77	90
67	157	22	48
68	39	53	103
69	125	23	116
70	77	17	38
71	114	72	98
72	20	140	67
73	15	24	34
74	37	110	100
75	58	77	67
76	97	14	87
77	75	149	105
78	102	19	10
79	167	176	157
80	44	34	116
81	32	133	22
82	109	14	45
83	80	61	70
84	17	145	110
85	180	107	170
86	120	163	110
87	118	129	103
88	42	139	51
89	166	144	52
90	73	64	92
91	44	53	134
92	19	78	9
93	132	69	78
94	105	84	118
95	60	51	42
96	171	147	161
97	92	83	104
98	107	95	118
99	97	86	73
100	28	39	49
101	30	98	20
102	79	34	106
103	98	133	143
104	41	148	169
105	160	12	171
106	81	90	151
107	94	103	75
108	14	169	24
109	168	152	21
110	100	13	109
111	74	65	47
112	32	88	124
113	20	90	11
114	87	65	76
115	87	58	75
116	14	172	160
117	130	117	145
118	98	89	154
119	18	134	27
120	24	11	168
121	83	46	166
122	180	12	171
123	150	159	169
124	73	96	86
125	129	50	79
126	28	41	53
127	127	118	136
128	75	88	59
129	62	123	155
130	139	44	8
131	133	108	53
132	39	57	14
133	103	117	128
134	123	114	101
135	161	92	7
136	23	69	81
137	67	57	48
138	76	134	147
139	97	48	62
140	81	9	71
141	18	27	37
142	186	161	176
143	21	5	58
144	64	27	126
145	118	80	161
146	168	158	141
147	174	183	14
148	69	119	132
149	90	140	78
150	26	35	9
151	80	89	98
152	85	24	37
153	49	58	92
154	10	77	67
155	121	54	63
156	37	147	27
157	41	50	32
158	123	23	14
159	98	118	88
160	56	26	126
161	144	55	35
162	150	130	140
163	28	40	53
164	126	150	75
165	15	154	171
166	102	135	81
167	100	129	139
168	147	58	128
169	13	22	32
170	84	52	74
171	157	49	27
172	124	114	53
173	113	84	103
174	73	82	63
175	15	5	110
176	34	62	52
177	41	31	21
178	120	5	37
179	91	100	160
180	63	95	124
181	70	94	83
182	36	54	45
183	116	131	151
184	99	56	119
185	15	34	24
186	132	63	73
187	22	13	117
188	99	169	9
189	136	60	42
190	129	116	140
191	104	123	48
192	157	148	54
193	145	120	158
194	31	40	5289
195	111	50	20
196	44	53	110
197	85	167	7
198	111	121	86
199	169	9	107
200	163	91	147
201	27	89	15
202	112	154	125
203	51	70	60
204	29	10	19
205	147	137	32
206	24	65	37
207	34	115	25
208	47	147	34
209	143	161	171
210	112	88	99
211	120	129	139
212	25	15	165
213	134	151	44
214	89	80	98
215	64	73	166
216	171	36	158
217	24	14	114
218	11	97	138
219	60	71	85
220	93	74	163
221	103	170	88
222	53	77	148
223	10	22	170
224	146	50	134
225	37	144	120
226	96	19	155
227	106	73	93
228	150	90	21
229	73	120	11
230	138	152	161
231	88	74	169
232	158	167	177
233	140	88	71
234	42	27	5
235	84	101	29
236	158	171	17
237	152	139	60
238	160	147	53
239	20	165	11
240	62	38	52
241	32	13	170
242	172	87	25
243	129	17	148
244	153	168	144
245	42	33	51
246	119	84	130
247	27	120	90
248	115	103	7
249	37	135	46
250	120	111	129
251	139	129	148
252	149	87	165
253	92	154	82
254	77	171	39
255	171	180	162
256	113	45	126
257	52	42	130
258	53	44	32
259	139	125	40
260	144	153	163
261	167	176	158
262	76	88	155
263	25	131	143
264	37	143	117
265	165	131	29
266	168	177	7
267	152	68	59
268	98	75	86
269	102	61	115
270	131	38	47
271	99	118	60
272	50	59	69
273	44	35	25
274	79	65	89
275	139	48	14
276	5	162	122
277	42	51	60
278	166	148	6
279	88	145	46
280	16	27	39
281	31	79	69
282	93	22	13
283	88	54	23
284	138	75	43
285	146	67	57
286	125	138	59
287	172	158	101
288	94	83	119
289	115	27	18
290	159	72	62
291	152	164	174
292	42	51	32
293	45	36	58
294	31	50	40
295	122	174	164
296	22	103	112
297	115	127	67
298	104	127	151
299	68	54	86
300	49	11	59
301	47	140	56
302	24	34	47
303	63	72	109
304	56	67	43
305	69	84	97
306	103	32	93
307	149	57	90
308	24	47	37
309	67	120	98
310	43	58	72
311	78	43	115
312	111	123	134
313	16	25	168
314	167	142	35
315	32	95	85
316	12	143	102
317	36	17	27
318	159	168	40
319	11	139	166
320	78	44	118
321	143	154	165
322	89	80	68
323	104	81	94
324	51	32	41
325	156	89	46
326	44	13	27
327	51	41	24
328	52	22	40
329	107	91	119
330	24	106	15
331	162	8	171
332	128	139	96
333	19	152	10
334	68	87	97
335	175	9	166
336	52	39	61
337	138	128	80
338	47	152	90
339	41	99	31
340	104	95	5
341	12	76	25
342	101	109	91
343	162	123	152
344	53	62	151
345	168	159	147
346	139	129	37
347	57	160	66
348	97	111	30
349	22	46	102
350	29	16	131
351	115	82	103
352	93	106	78
353	7	162	36
354	142	131	94
355	120	134	107
356	20	131	37
357	152	139	22
358	86	138	95
359	20	155	48
360	164	126	67
361	137	51	41
362	73	46	157
363	95	123	114
364	153	134	143
365	83	93	67
366	41	60	50
367	52	134	124
368	79	89	64
369	108	121	51
370	24	33	43
371	48	63	112
372	47	135	158
373	10	67	165
374	86	95	168
375	110	133	123
376	87	145	77
377	174	79	164
378	40	49	31
379	36	142	51
380	129	140	157
381	24	46	106
382	127	136	114
383	46	33	65
384	65	8	17
385	144	129	50
386	57	66	151
387	143	162	152
388	171	18	8
389	112	24	37
390	84	98	57
391	157	148	63
392	36	25	47
393	117	107	24
394	46	104	55
395	114	159	59
396	34	24	15
397	81	104	94
398	79	152	29
399	168	46	36
400	60	95	69
401	37	47	57
402	46	63	35
403	72	60	90
404	54	44	94
405	36	13	141
406	72	81	91
407	360	1205	1215
408	149	14341	43
409	22	31	41
410	78	153	69
411	35	100	90
412	54	9	114
413	20	162	8
414	47	38	56
415	95	76	85
416	145	157	57
417	33	15	3283
418	141	57	67
419	102	37	116
420	13	169	159
421	92	18	32
422	136	145	127
423	68	80	47
424	67	56	46
425	44	151	59
426	104	45	166
427	169	110	32
428	85	108	98
429	124	113	100
430	80	64	94
431	111	121	98
432	26	16	35
433	5	1341	1351
434	57	5538	150
435	170	179	161
436	56	12	165
437	103	11	131
438	76	64	150
439	119	24	133
440	34	23	10
441	136	108	147
442	154	6	170
443	682	672	141
444	128	77	67
445	91	142	34
446	152	167	61
447	57	21	115
448	61	70	36
449	33	42	142
450	61	13	28
451	145	129	154
452	172	5	162
453	21	47	108
454	82	72	61
455	137	106	25
456	16	33	42
457	129	147	138
458	97	121	111
459	104	120	91
460	28	9	18
461	41	144	52
462	141	121	131
463	125	115	106
464	21	99	6
465	78	134	61
466	33	144	127
467	5	160	26
468	87	96	151
469	104	91	114
470	26	155	52
471	75	53	64
472	47	111	129
473	130	151	161
474	91	82	65
475	78	52	137
476	161	128	151
477	84	97	107
478	142	114	132
479	73	82	60
480	113	93	103
481	37	61	51
482	143	132	111
483	139	107	124
484	162	151	52
485	40	134	109
486	110	150	163
487	110	134	124
488	74	83	158
489	146	162	75
490	140	149	131
491	156	119	65
492	153	18	54
493	32	98	167
494	10	148	167
495	79	98	88
496	31	62	118
497	159	88	121
498	167	158	176
499	35	118	25
500	25	16	110
501	22	6	102
502	63	134	124
503	71	31	47
504	135	118	144
505	41	25	91
506	17	86	76
507	102	58	71
508	32	138	148
509	179	170	11
510	36	24	47
511	75	84	94
512	85	148	75
513	166	147	156
514	62	51	71
515	134	125	47
516	78	165	108
517	167	148	157
518	87	20	157
519	76	25	41
520	19	28	10
521	128	137	19
522	76	85	95
523	101	145	36
524	13	106	41
525	30	39	147
526	106	34	118
527	83	155	73
528	19	29	39
529	25	120	130
530	69	56	97
531	153	140	31
532	19	28	38
533	23	41	114
534	53	43	29
535	12	38	132
536	171	16	25
537	88	56	97
538	87	71	42
539	11	88	59
540	108	68	51
541	21	11	89
542	58	130	38
543	113	97	122
544	117	87	107
545	157	66	166
546	149	158	139
547	21	96	38
548	135	162	54
549	5	81	92
550	77	153	64
551	100	109	91
552	148	139	31
553	134	124	115
554	103	94	84
555	21	84	12
556	167	21	7
557	136	62	71
558	120	157	89
559	115	96	105
560	112	52	61
561	117	170	130
562	31	77	22
563	56	65	115
564	103	119	129
565	104	94	53
566	76	67	54
567	60	79	69
568	69	50	59
569	120	79	14
570	27	11	36
571	21	30	72
572	154	145	165
573	161	169	179
574	84	74	13
575	64	165	10
576	97	88	36
577	157	77	112
578	166	156	147
579	168	43	109
580	51	5288	42
581	143	77	86
582	127	139	101
583	169	84	98
584	72	37	50
585	73	58	48
586	65	18	8
587	22	89	162
588	65	119	9
589	104	80	94
590	95	160	61
591	35	24	11
592	23	34	44
593	112	103	121
594	80	70	149
595	77	86	96
596	78	29	10
597	143	133	166
598	89	80	98
599	37	24	6
600	93	79	106
601	64	81	113
602	116	81	18
603	108	98	117
604	12	154	23
605	105	114	50
606	59	68	50
607	147	138	25
608	128	172	147
609	92	79	101
610	26	16	6
611	63	54	116
612	147	158	71
613	78	102	91
614	171	143	89
615	156	16	25
616	61	41	51
617	38	56	46
618	75	66	56
619	105	31	120
620	34	151	17
621	39	82	29
622	99	108	117
623	62	129	73
624	21	78	48
625	30	125	39
626	53	62	130
627	57	19	102
628	100	70	86
629	159	134	149
630	95	57	106
631	5	60	77
632	153	140	164
633	42	66	56
634	67	103	114
635	107	90	116
636	123	111	99
637	112	86	99
638	82	72	27
639	28	77	18
640	48	39	57
641	153	121	143
642	165	17	30
643	20	43	33
644	104	34	48
645	96	109	126
646	107	116	54
647	80	96	161
648	109	118	100
649	165	63	73
650	63	72	138
651	40	29	11
652	74	119	90
653	137	38	147
654	143	90	78
655	85	97	76
656	83	73	64
657	40	15	26
658	115	141	64
659	99	65	22
660	76	63	128
661	23	81	136
662	105	46	65
663	120	129	111
664	90	66	54
665	155	51	29
666	67	76	111
667	58	40	105
668	32	23	13
669	110	100	88
670	139	148	157
671	149	94	169
672	31	96	40
673	115	134	124
674	12	133	73
675	140	81	118
676	10	68	148
677	67	85	76
678	55	150	138
679	42	61	51
680	30	21	39
681	15	42	95
682	51	71	61
683	58	5	76
684	119	166	30
685	65	84	74
686	147	172	9
687	167	104	95
688	96	115	125
689	135	154	121
690	137	72	13
691	115	134	124
692	42	131	33
693	37	48	27
694	161	139	148
695	141	121	111
696	131	140	150
697	50	40	59
698	92	83	126
699	99	23	45
700	128	53	63
701	165	34	134
702	30	39	49
703	164	127	116
704	90	157	125
705	135	149	61
706	159	76	85
707	116	57	167
708	44	34	25
709	133	41	58
710	76	85	95
711	16	126	116
712	168	177	47
713	23	9	36
714	46	63	136
715	24	82	72
716	106	97	115
717	74	97	26
718	255	67	77
719	23	140	150
720	148	8	83
721	67	76	90
722	81	172	181
723	178	169	41
724	171	158	30
725	97	87	106
726	51	38	20
727	103	94	84
728	168	11	136
729	29	38	125
730	158	41	31
731	6	95	170
732	141	35	45
733	70	164	52
734	87	73	96
735	88	144	134
736	105	96	168
737	46	80	59
738	137	86	153
739	32	12	22
740	87	101	112
741	69	56	39
742	27	119	40
743	47	38	13
744	112	103	121
745	141	131	122
746	22	33	44
747	95	86	146
748	169	110	100
749	163	154	172
750	16	168	178
751	154	28	144
752	166	29	11
753	99	90	108
754	144	164	131
755	83	163	26
756	57	11	110
757	66	84	94
758	157	113	166
759	97	116	38
760	52	61	40
761	137	55	65
762	26	170	154
763	20	10	132
764	150	27	15
765	52	147	137
766	169	136	126
767	45	53	70
768	99	43	132
769	103	84	93
770	55	68	36
771	75	62	84
772	9	88	151
773	133	144	157
774	51	60	70
775	21	158	147
776	51	32	41
777	127	40	136
778	82	20	29
779	27	108	16
780	55	43	33
781	127	140	151
782	135	11	94
783	94	117	108
784	79	107	95
785	139	150	129
786	164	50	143
787	75	87	99
788	85	94	73
789	93	121	106
790	4	21	32
791	56	33	121
792	74	95	85
793	18	81	32
794	87	72	101
795	43	34	24
796	59	50	35
797	151	61	43
798	30	17	42
799	68	40	56
800	23	9	36
801	160	117	126
802	78	64	54
803	36	123	140
804	166	6	175
805	44	57	110
806	62	132	30
807	90	69	80
808	146	132	123
809	130	140	121
810	56	142	46
811	18	6	170
812	169	157	142
813	167	29	39
814	74	89	100
815	47	75	61
816	169	160	81
817	143	157	34
818	113	132	39
819	62	73	93
820	7	58	68
821	103	112	91
822	132	85	152
823	132	45	71
824	77	164	68
825	13	32	22
826	160	23	36
827	81	124	66
828	15	33	81
829	15	26	36
830	56	39	69
831	118	70	129
832	87	77	96
833	32	22	13
834	165	155	82
835	155	44	34
836	77	41	61
837	60	70	88
838	117	72	162
839	51	102	67
840	77	164	67
841	90	80	70
842	87	116	77
843	28	37	47
844	143	53	63
845	152	140	27
846	124	137	79
847	40	109	31
848	67	76	58
849	142	82	128
850	94	103	23
851	162	171	153
852	76	85	66
853	87	96	77
854	163	144	153
855	31	9	21
856	141	117	131
857	147	133	118
858	4	142	90
859	32	163	96
860	91	113	103
861	98	135	148
862	27	107	40
863	113	149	103
864	44	9	31
865	144	134	153
866	157	148	166
867	9	46	23
868	109	98	118
869	80	97	70
870	64	54	153
871	64	83	73
872	40	31	49
873	40	152	142
874	51	80	70
875	151	133	165
876	99	10	161
877	50	119	40
878	50	19	169
879	53	29	38
880	153	84	143
881	139	148	114
882	5	145	68
883	13	37	27
884	65	74	55
885	15	171	161
886	143	100	43
887	106	87	96
888	30	39	17
889	8	17	168
890	31	40	50
891	36	105	45
892	117	129	143
893	104	167	135
894	155	91	145
895	17	26	90
896	108	129	118
897	78	87	68
898	87	141	127
899	39	130	29
900	15	170	31
901	72	56	83
902	29	83	141
903	82	20	166
904	23	94	33
905	162	152	143
906	25	76	39
907	131	88	75
908	19	80	28
909	104	115	128
910	92	83	73
911	111	155	98
912	126	95	114
913	127	136	146
914	167	107	34
915	40	121	131
916	73	82	97
917	66	155	23
918	58	141	30
919	70	138	79
920	91	77	18
921	159	14	172
922	194	184	145
923	10	41	26
924	158	84	130
925	128	142	118
926	18	159	172
927	111	140	130
928	118	105	87
929	47	32	11
930	88	77	65
931	99	89	77
932	35	69	56
933	125	51	161
934	55	70	9
935	69	59	35
936	104	94	81
937	36	167	13
938	22	11	166
939	17	89	40
940	67	78	92
941	26	165	16
942	30	17	169
943	152	142	131
944	81	71	8
945	147	95	54
946	142	38	86
947	101	114	70
948	84	155	93
949	72	161	151
950	7	172	162
951	62	25	133
952	132	159	145
953	120	24	107
954	36	26	79
955	46	20	151
956	44	146	104
957	79	88	98
958	27	46	36
959	145	164	154
960	157	75	86
961	21	34	157
962	164	150	173
963	9	168	18
964	119	128	103
965	156	8	172
966	6	104	15
967	17	112	127
968	108	36	117
969	38	21	47
970	171	180	155
971	86	146	64
972	129	55	64
973	63	156	50
974	114	11	153
975	116	107	125
976	82	155	62
977	30	19	169
978	47	102	7
979	18	6	169
980	92	80	106
981	25	40	51
982	75	47	21
983	60	45	73
984	62	72	87
985	159	170	101
986	32	20	84
987	37	11	145
988	101	62	162
989	17	118	129
990	110	146	158
991	120	51	28
992	122	18	28
993	98	109	169
994	27	134	124
995	10	23	77
996	109	125	134
997	132	166	39
998	46	55	36
999	50	60	169
