=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.09.30 13:40:09 =~=~=~=~=~=~=~=~=~=~=~=


Reaction test
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	33	23	8
1	26	7	16
2	26	17	7
3	16	7	25
4	7	16	26
5	8	27	17
6	16	25	7
7	25	16	6
8	14	4	23
9	4	13	23
10	27	7	17
11	25	5	15
12	27	17	8
13	16	25	7
14	15	6	25
15	24	5	14
16	16	6	25
17	6	15	25
18	16	25	6
19	15	24	6
20	9	27	18
21	15	24	5
22	27	18	8
23	16	6	25
24	8	17	26
25	6	26	16
26	15	24	6
27	24	5	14
28	27	17	8
29	5	14	24
30	6	25	16
31	7	16	26
32	26	7	16
33	17	26	7
34	25	6	15
35	16	25	6
36	15	24	5
37	6	25	15
38	14	5	23
39	8	27	17
40	16	6	25
41	6	15	25
42	27	7	17
43	5	14	23
44	27	18	9
45	5	24	14
46	5	14	23
47	7	26	16
48	24	14	5
49	6	25	15
50	17	26	8
51	17	8	26
52	17	7	26
53	15	24	6
54	24	5	14
55	15	24	6
56	17	26	8
57	16	7	25
58	5	13	23
59	16	6	25
60	27	8	17
61	27	17	8
62	8	27	17
63	25	16	7
64	18	9	27
65	26	17	7
66	24	15	6
67	5	25	15
68	6	25	15
69	6	26	16
70	15	6	24
71	15	5	24
72	27	8	17
73	25	6	15
74	7	25	16
75	16	6	25
76	6	14	24
77	5	25	15
78	5	14	24
79	15	24	6
80	8	17	26
81	24	15	6
82	7	16	26
83	4	13	23
84	7	16	26
85	5	14	24
86	9	18	27
87	17	26	8
88	16	7	25
89	18	8	27
90	24	4	14
91	27	17	8
92	15	6	24
93	27	18	8
94	17	8	26
95	17	26	7
96	24	15	5
97	23	4	13
98	28	8	18
99	14	23	5
100	18	8	27
101	5	14	24
102	25	6	15
103	5	14	24
104	25	5	15
105	26	17	7
106	24	5	14
107	6	15	25
108	24	15	5
109	16	7	25
110	26	7	16
111	16	25	7
112	6	15	25
113	16	25	7
114	27	8	17
115	27	7	17
116	7	16	26
117	26	6	16
118	24	4	14
119	18	27	9
120	6	25	15
121	16	25	6
122	25	6	15
123	16	25	6
124	27	18	8
125	16	25	7
126	8	27	17
127	7	26	16
128	5	25	15
129	27	18	8
130	16	25	7
131	15	6	24
132	16	7	25
133	6	25	15
134	19	28	9
135	7	26	16
136	5	24	15
137	8	27	17
138	15	24	6
139	7	27	17
140	24	15	6
141	27	8	17
142	27	17	8
143	26	16	7
144	26	7	16
145	9	28	18
146	6	25	15
147	6	25	15
148	25	16	7
149	8	27	17
150	7	16	25
151	15	24	6
152	7	16	26
153	16	25	7
154	9	28	18
155	26	7	16
156	25	16	6
157	8	17	27
158	7	16	26
159	25	5	15
160	16	25	7
161	4	24	14
162	5	14	24
163	17	26	8
164	17	26	8
165	5	14	24
166	18	27	8
167	15	24	5
168	25	6	15
169	15	5	24
170	26	7	16
171	26	16	7
172	5	14	24
173	5	24	14
174	6	25	15
175	5	24	14
176	15	6	24
177	4	13	23
178	6	14	24
179	18	9	27
180	24	14	5
181	25	16	7
182	17	26	8
183	7	16	26
184	6	15	25
185	17	26	8
186	14	5	23
187	16	7	25
188	6	15	25
189	14	5	23
190	7	26	17
191	16	7	25
192	17	26	8
193	18	27	8
194	17	26	8
195	16	25	6
196	6	25	15
197	26	17	8
198	27	18	8
199	27	18	8
200	25	15	6
201	5	14	24
202	5	14	24
203	9	28	18
204	5	24	14
205	16	6	24
206	8	27	17
207	27	18	9
208	27	18	8
209	26	17	8
210	6	25	15
211	25	6	15
212	24	14	5
213	5	24	14
214	25	6	15
215	17	26	7
216	26	6	16
217	7	26	16
218	6	15	24
219	8	17	27
220	15	6	24
221	16	7	25
222	15	24	6
223	7	16	25
224	27	17	8
225	6	15	24
226	8	17	26
227	6	26	16
228	5	24	14
229	25	16	7
230	28	19	9
231	18	27	8
232	26	17	7
233	5	14	23
234	15	5	24
235	27	17	8
236	4	24	14
237	24	4	14
238	7	26	16
239	15	6	24
240	25	6	15
241	24	15	6
242	26	6	16
243	15	5	23
244	5	14	24
245	16	7	25
246	6	24	15
247	16	25	6
248	28	9	18
249	28	18	9
250	27	8	17
251	28	9	18
252	4	13	23
253	17	26	7
254	8	27	17
255	24	15	5
256	25	16	6
257	26	7	16
258	16	25	6
259	23	4	13
260	19	28	9
261	17	8	26
262	6	27	17
263	7	16	26
264	14	5	23
265	24	15	6
266	8	17	27
267	6	15	24
268	23	14	5
269	16	6	25
270	6	26	16
271	16	25	7
272	15	5	24
273	26	7	16
274	26	7	16
275	27	18	8
276	28	18	9
277	17	26	8
278	26	17	8
279	16	25	7
280	9	28	18
281	7	26	16
282	26	7	17
283	5	14	24
284	4	13	23
285	24	5	15
286	17	7	26
287	6	25	15
288	27	17	8
289	15	6	24
290	7	26	16
291	24	5	14
292	8	17	27
293	24	15	6
294	6	25	15
295	17	8	26
296	28	18	9
297	14	23	5
298	6	15	25
299	15	6	24
300	18	27	9
301	6	15	25
302	27	8	17
303	18	8	27
304	8	26	17
305	6	25	15
306	16	7	25
307	17	26	8
308	25	6	15
309	24	5	14
310	25	16	6
311	17	7	26
312	25	6	15
313	8	17	27
314	6	25	15
315	24	5	15
316	6	15	25
317	16	6	25
318	15	24	5
319	14	4	23
320	23	14	5
321	4	23	14
322	25	6	15
323	7	26	16
324	16	25	7
325	6	15	25
326	6	15	25
327	15	6	24
328	25	16	6
329	7	16	26
330	8	17	27
331	25	6	15
332	26	17	7
333	15	24	6
334	14	4	23
335	16	7	25
336	24	14	5
337	27	7	17
338	25	15	6
339	25	16	6
340	7	26	16
341	16	25	7
342	8	17	27
343	8	17	26
344	18	9	27
345	5	24	14
346	15	24	5
347	27	8	17
348	24	14	5
349	7	16	26
350	17	8	26
351	14	4	22
352	7	26	16
353	27	18	8
354	16	25	7
355	17	26	8
356	15	24	6
357	26	16	7
358	26	17	7
359	6	15	25
360	6	25	15
361	26	17	7
362	26	7	16
363	6	25	15
364	26	7	16
365	9	28	18
366	8	27	17
367	26	7	16
368	16	25	6
369	16	25	7
370	17	26	8
371	26	17	7
372	28	19	9
373	7	26	16
374	25	16	7
375	26	7	16
376	15	24	6
377	7	16	26
378	17	8	26
379	25	5	15
380	26	17	7
381	8	16	26
382	14	4	24
383	15	6	24
384	26	6	16
385	28	9	18
386	26	17	7
387	5	24	14
388	17	7	26
389	16	25	6
390	15	24	6
391	15	5	23
392	17	8	26
393	17	8	26
394	15	5	23
395	24	14	5
396	9	17	27
397	4	13	23
398	9	18	27
399	25	6	16
400	5	14	24
401	8	17	27
402	15	6	24
403	26	7	16
404	7	26	16
405	28	19	9
406	24	15	5
407	27	8	17
408	25	16	7
409	26	17	7
410	6	15	25
411	25	16	6
412	27	8	17
